,x,y,i
246,-19.0,2543.0,4
247,-19.0,2625.135,4
248,-19.0,2625.135,4
249,-500.0,2625.135,4
250,-500.0,2625.135,4
251,-500.0,-432.33361,4
252,-500.0,-432.33361,4
253,-19.0,-432.33361,4
254,839.7,2445.5,5
255,400.00000000000006,2835.5,5
256,400.00000000000006,2835.5,5
257,400.00000000000006,2967.9462,5
258,400.00000000000006,2967.9462,5
259,839.7,2571.0489,5
260,839.7,2571.0489,5
261,1337.0245,2445.5,5
262,1337.0245,2445.5,5
263,1361.9628,2400.9469,5
264,1361.9628,2400.9469,5
265,1888.7651,2517.2364,5
266,1888.7651,2517.2364,5
267,1888.7651,2445.5,5
268,1888.7651,2445.5,5
269,1337.0245,2330.0,5
270,1337.0245,2330.0,5
271,839.7,2445.5,5
272,150.9,-205.4,0
273,153.04978,-432.33361,0
274,153.04978,-432.33361,0
275,1288.1466,-430.70503,0
276,1288.1466,-430.70503,0
277,1288.1466,584.65169,0
278,1288.1466,584.65169,0
279,1288.1466,1187.3906,0
280,1288.1466,1187.3906,0
281,1095.0844,1383.5839999999998,0
282,1095.0844,1383.5839999999998,0
283,969.46871,1418.2360999999999,0
284,969.46871,1418.2360999999999,0
285,1394.2561,1653.5754,0
286,1394.2561,1653.5754,0
287,1376.4386,1681.1669,0
288,1376.4386,1681.1669,0
289,900.25485,1421.3827999999999,0
290,900.25485,1421.3827999999999,0
291,900.25485,1380.6466999999998,0
292,900.25485,1380.6466999999998,0
293,966.14619,1380.6466999999998,0
294,966.14619,1380.6466999999998,0
295,1203.0,1153.1,0
296,1203.0,1153.1,0
297,1203.0,623.7,0
298,1203.0,623.7,0
299,985.2,406.96,0
300,985.2,406.96,0
301,1051.61,389.93,0
302,1051.61,389.93,0
303,1203.0,329.47895,0
304,1203.0,329.47895,0
305,1203.0,-55.111,0
306,1203.0,-55.111,0
307,930.86,-205.4,0
308,930.86,-205.4,0
309,150.9,-205.4,0
310,558.8,11.93,1
311,720.32,15.98,1
312,720.32,15.98,1
313,720.27,174.0,1
314,720.27,174.0,1
315,559.34,171.337,1
316,559.34,171.337,1
317,558.8,11.93,1
318,646.56,681.62,2
319,808.0629999999999,681.38,2
320,808.0629999999999,681.38,2
321,808.0629999999999,845.1800000000001,2
322,808.0629999999999,845.1800000000001,2
323,644.69,845.1800000000001,2
324,644.69,845.1800000000001,2
325,646.56,681.62,2
326,480.04184,1681.4069,3
327,642.07401,1681.1669,3
328,642.07401,1681.1669,3
329,642.07401,1844.9669,3
330,642.07401,1844.9669,3
331,478.70101000000005,1844.9669,3
332,478.70101000000005,1844.9669,3
333,480.04184,1681.4069,3
334,-19.0,-432.33361,4
335,-19.0,0.0,4
336,-19.0,0.0,4
337,0.0,0.0,4
338,0.0,0.0,4
339,0.0,33.0,4
340,0.0,33.0,4
341,-19.0,33.0,4
342,-19.0,33.0,4
343,-19.0,498.5,4
344,-19.0,498.5,4
345,0.0,498.5,4
346,0.0,498.5,4
347,0.0,531.5,4
348,0.0,531.5,4
349,-19.0,531.5,4
350,-19.0,531.5,4
351,-19.0,993.0,4
352,-19.0,993.0,4
353,0.0,993.0,4
354,0.0,993.0,4
355,-0.33674026,1026.0,4
356,-0.33674026,1026.0,4
357,-19.0,1026.0,4
358,-19.0,1026.0,4
359,-19.0,1484.4149,4
360,-19.0,1484.4149,4
361,0.0,1484.4149,4
362,0.0,1484.4149,4
363,0.0,1521.5,4
364,0.0,1521.5,4
365,-19.0,1521.5,4
366,-19.0,1521.5,4
367,-19.0,2030.0,4
368,-19.0,2030.0,4
369,0.0,2030.0,4
370,0.0,2030.0,4
371,0.0,2063.0,4
372,0.0,2063.0,4
373,-19.0,2063.0,4
374,-19.0,2063.0,4
375,-19.0,2490.0,4
376,-19.0,2490.0,4
377,0.0,2490.0,4
378,0.0,2490.0,4
379,-0.33674026,2543.0,4
380,-0.33674026,2543.0,4
381,-19.0,2543.0,4
382,-19.0,2543.0,4
383,-19.0,2625.135,4
384,-19.0,2625.135,4
385,-500.0,2625.135,4
386,-500.0,2625.135,4
387,-500.0,-432.33361,4
388,-500.0,-432.33361,4
389,-19.0,-432.33361,4
390,839.7,2445.5,5
391,400.00000000000006,2835.5,5
392,400.00000000000006,2835.5,5
393,400.00000000000006,2967.9462,5
394,400.00000000000006,2967.9462,5
395,839.7,2571.0489,5
396,839.7,2571.0489,5
397,1337.0245,2445.5,5
398,1337.0245,2445.5,5
399,1361.9628,2400.9469,5
400,1361.9628,2400.9469,5
401,1888.7651,2517.2364,5
402,1888.7651,2517.2364,5
403,1888.7651,2445.5,5
404,1888.7651,2445.5,5
405,1337.0245,2330.0,5
406,1337.0245,2330.0,5
407,839.7,2445.5,5
