term,gaze_pairwise,type_of_interaction_pairwise,odds.ratio,std.error,df,null,statistic,p.value
gaze*type_of_interaction,FALSE / TRUE,Human / Mural,1.62178117192345,0.48073802737958,Inf,1,1.63118320536535,0.102851667975453
gaze*type_of_interaction,FALSE / TRUE,Human / Sign,0.467360737537941,0.117500448097431,Inf,1,-3.02551824974753,0.00248207425230128
gaze*type_of_interaction,FALSE / TRUE,Mural / Sign,0.28817743455712,0.0979582676855525,Inf,1,-3.66017377551583,0.000252044257391065
