pedestrian_direction,body_orientation,prob,std.error,df,null,statistic,p.value
Left,Baseline,0.937241714891875,0.0350887349342295,Inf,0.5,4.53216314686812,5.8382730266781e-06
Right,Baseline,0.894543540461737,0.0485159628458112,Inf,0.5,4.15719932637666,3.22172878491342e-05
Left,BackToBack,0.801904105212987,0.114848372621607,Inf,0.5,1.93398947168868,0.0531144223280591
Right,BackToBack,0.901969172979812,0.0905788780703324,Inf,0.5,2.16642228723167,0.0302789323911131
Left,FaceToFace,0.197359387713365,0.0858330351157499,Inf,0.5,-2.58907831092272,0.00962332068941716
Right,FaceToFace,0.113920958149564,0.0596281808928193,Inf,0.5,-3.47259382360248,0.000515454808250425
Left,OffsetFacing,0.796906136802513,0.0929275604284475,Inf,0.5,2.38094717264616,0.0172681881400519
Right,OffsetFacing,0.226887169941954,0.097302499475413,Inf,0.5,-2.21008730060213,0.0270991040515577
