gaze,type_of_interaction,prob,std.error,df,null,statistic,p.value
FALSE,Human,0.0436747952567537,0.00970526259344073,Inf,0.5,-13.2822334059111,2.93507420597744e-40
TRUE,Human,0.0228558469676659,0.00541495088590844,Inf,0.5,-15.4889074559753,4.12236378779594e-54
FALSE,Mural,0.421303211030488,0.128322786745623,Inf,0.5,-0.603093123660993,0.546446740651214
TRUE,Mural,0.376835636699997,0.121488093671267,Inf,0.5,-0.972276691946796,0.33091291607861
FALSE,Sign,0.140205615535289,0.0373160569058896,Inf,0.5,-5.85870675591641,4.66485580017943e-09
TRUE,Sign,0.0375670354835957,0.0118225199795238,Inf,0.5,-9.91880830844081,3.4484873560103e-23
