term,contrast,null.value,odds.ratio,std.error,df,null,statistic,p.value
type_of_interaction,Sign vs. Human,0,2.4410217044525,0.760316781090388,Inf,1,2.86513272728406,0.00416834489351785
type_of_interaction,Mural vs. Human,0,20.3008652289884,11.1571618669427,Inf,1,5.47801267379191,4.30129331906479e-08
