effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),-2.93777690508797,0.369735494922699,-7.94561773329922,1.93225434913529e-15
fixed,gazeTRUE,-1.09146745370053,0.195323831689009,-5.58798915760746,2.29713982578916e-08
fixed,talkTRUE,-0.684181275888354,0.182091680538414,-3.75734505753007,0.000171725628763621
fixed,distance10 ft,2.83289921517097,0.232021039787121,12.2096652000618,2.76022649565988e-34
fixed,pedestrian_genderWoman,-0.146477551004065,0.243911986011261,-0.600534452609074,0.548150107103433
fixed,actor_genderMW,-0.166544085656519,0.286216236582004,-0.581882033127784,0.560646143343697
fixed,actor_genderWW,0.825170690707298,0.308045632628766,2.67872874439266,0.00739022352873297
fixed,group_lead_pedestrianTRUE,-0.149134272162434,0.180249404793431,-0.827377334939577,0.408023222923463
fixed,transportationBike,0.43993671067506,0.249060487458353,1.76638500616693,0.0773312788594244
fixed,transportationOther,1.50135869626129,0.648903319163814,2.31368626407393,0.0206849379005743
fixed,transportationSkateboard,0.529748290734222,0.287182414424259,1.84464042408814,0.0650898625078902
fixed,gazeTRUE:talkTRUE,0.84903818740743,0.274289894643619,3.09540454820828,0.00196544622451174
fixed,pedestrian_genderWoman:actor_genderMW,-0.0190766426609083,0.342885993876913,-0.0556355260977977,0.955632162589108
fixed,pedestrian_genderWoman:actor_genderWW,-0.148004662564717,0.330443370100015,-0.447897207076421,0.654227384144937
