effect,term,estimate,std.error,statistic,p.value
fixed,(Intercept),2.06296757371036,0.884458417491372,2.33246417571744,0.0196762854128632
fixed,body_orientationBackToBack,-1.30541281227851,0.796911357523955,-1.63809035967877,0.101402845707791
fixed,body_orientationFaceToFace,-4.10653130050551,0.623054839708418,-6.59096284755178,4.36983239177453e-11
fixed,body_orientationOffsetFacing,-1.33658196412135,0.6560825877886,-2.03721602889425,0.0416283982654804
fixed,pedestrian_directionRight,-0.565635197292446,0.556179837965402,-1.01700054313661,0.309153171033637
fixed,pedestrian_genderWoman,0.195990915890426,0.257246296703014,0.761880417336754,0.44613137861862
fixed,pedestrian_headphones,-0.159124314423602,0.386408521446689,-0.411803326251322,0.680483583175131
fixed,pedestrian_on_phone,0.677810795818558,0.342294785948231,1.98019608724355,0.0476814993650462
fixed,transportationBike,-0.134483837045528,1.02860696234026,-0.130743658140864,0.895978094547008
fixed,transportationScooter,3.51559595799456,1.99117141501034,1.76559181770712,0.0774643537444378
fixed,transportationSkateboard,0.723590140621297,1.12202222724272,0.644898223094439,0.518993143314507
fixed,motor_powered,-2.46009658447293,1.88098732449267,-1.30787515281979,0.190915658451698
fixed,pedestrian_group_size,0.191650909582444,0.284477130201575,0.673695314089549,0.500505041611598
fixed,outerside_of_pedestrian_group,-0.627155293866974,0.431360314777137,-1.45390123380032,0.145973690713531
fixed,lead_pedestrian,0.659400052993016,0.470158929503918,1.40250458220324,0.160764623144829
fixed,entry_locationbottom,-2.47407194110576,0.668866210677957,-3.69890405825413,0.000216532425919516
fixed,exit_locationbottom,-3.79529968596511,0.538338710991439,-7.0500218700146,1.78889672496593e-12
fixed,breach_before,1.0559126352609,0.212290697465626,4.97389969445966,6.56192714418151e-07
fixed,crowd_size,-0.384946795720143,0.162954515419982,-2.36229597399018,0.0181621355310708
fixed,body_orientationBackToBack:pedestrian_directionRight,1.38669574923608,1.23761472401862,1.12045834808218,0.26251849254779
fixed,body_orientationFaceToFace:pedestrian_directionRight,-0.0827854153766506,0.705297282108789,-0.117376626107403,0.906561605686124
fixed,body_orientationOffsetFacing:pedestrian_directionRight,-2.0274056080558,0.800025227351457,-2.53417709684941,0.0112711752421153
