pedestrian_gender,actor_gender,prob,std.error,df,null,statistic,p.value
Man,M,0.353112660280293,0.057068164849636,Inf,0.5,-2.42314657846208,0.0153867168885323
Woman,M,0.32729132120891,0.0585862382915063,Inf,0.5,-2.70755199649352,0.00677814520225727
Man,W,0.452339175059306,0.0641192650059364,Inf,0.5,-0.738804380247475,0.460025791627785
Woman,W,0.429388461315825,0.0664732515066645,Inf,0.5,-1.04807438845492,0.294604335233821
