distance,gaze,talk,prob,std.error,df,null,statistic,p.value
5 ft,FALSE,FALSE,0.052456554291956,0.0136482769289715,Inf,0.5,-10.539080201618,5.70541697815207e-26
10 ft,FALSE,FALSE,0.484757653284204,0.0575596192238773,Inf,0.5,-0.264645629270196,0.791282465885407
5 ft,TRUE,FALSE,0.0182467154084205,0.00533232429704958,Inf,0.5,-13.3886723907783,7.04283935308049e-41
10 ft,TRUE,FALSE,0.240040818427047,0.0441663045560382,Inf,0.5,-4.76001758121576,1.93576096182226e-06
5 ft,FALSE,TRUE,0.0271707176596636,0.00754512900332984,Inf,0.5,-12.5348678147474,4.81163056164478e-36
10 ft,FALSE,TRUE,0.321874739253278,0.0517387824818202,Inf,0.5,-3.14366107841836,0.00166848559847248
5 ft,TRUE,TRUE,0.0214468348973796,0.00611918268715106,Inf,0.5,-13.1031042605438,3.1606115502517e-39
10 ft,TRUE,TRUE,0.271386615240501,0.0470307664992796,Inf,0.5,-4.15225558354473,3.29214286628534e-05
