breach,sync_frame,participant_id,date,condition,pedestrian_gender,x,y,rts_x,rts_y,rts_distance_to_wall_middle,rts_orients_away,rts_distance_to_obstructing_actor
1,7014,1,2023-04-06,Baseline,Woman,802.619262695313,1424.2646484375,795.273433586544,1420.45271634781,,0,
1,7015,1,2023-04-06,Baseline,Woman,800.5439453125,1411.27075195313,795.007480444969,1420.30673188642,,0,
1,7016,1,2023-04-06,Baseline,Woman,800.5439453125,1411.27075195313,794.676567658451,1420.11029606995,,0,
1,7017,1,2023-04-06,Baseline,Woman,798.168762207031,1410.60559082031,794.261015947717,1419.84651637941,,0,
1,7018,1,2023-04-06,Baseline,Woman,795.796569824219,1409.94458007813,793.7442065389,1419.50001310171,,0,
1,7019,1,2023-04-06,Baseline,Woman,800.224487304688,1423.58642578125,793.112426732697,1419.05686833574,,0,
1,7020,1,2023-04-06,Baseline,Woman,799.0283203125,1423.24914550781,792.354710616968,1418.50458638028,,0,
1,7021,1,2023-04-06,Baseline,Woman,796.640197753906,1422.57666015625,791.462675111281,1417.8320614744,,0,
1,7022,1,2023-04-06,Baseline,Woman,796.640197753906,1422.57666015625,790.430348928079,1417.02954422665,,0,
1,7023,1,2023-04-06,Baseline,Woman,789.884765625,1408.30688476563,789.25399362127,1416.08860225318,,0,
1,7024,1,2023-04-06,Baseline,Woman,788.707885742188,1407.98229980469,787.931917462422,1415.0020747106,,0,
1,7025,1,2023-04-06,Baseline,Woman,785.178100585938,1407.01330566406,786.464283691054,1413.76402434213,,0,
1,7028,1,2023-04-06,Baseline,Woman,784.614562988281,1443.76892089844,784.852916219426,1412.3696947817,,0,
1,7029,1,2023-04-06,Baseline,Woman,778.745971679688,1431.1015625,783.101105060636,1410.81547667671,,0,
1,7030,1,2023-04-06,Baseline,Woman,767.037170410156,1389.97448730469,781.213412384726,1409.09887045327,,0,
1,7031,1,2023-04-06,Baseline,Woman,768.84228515625,1402.59753417969,779.195480463058,1407.21842552165,,0,
1,7032,1,2023-04-06,Baseline,Woman,766.525268554688,1401.98083496094,777.05384675,1405.1736631709,,0,
1,7033,1,2023-04-06,Baseline,Woman,768.344116210938,1414.79443359375,774.795772254991,1402.9650064338,,0,
1,7034,1,2023-04-06,Baseline,Woman,761.905944824219,1400.75756835938,772.429083930396,1400.59371969211,,0,
1,7035,1,2023-04-06,Baseline,Woman,759.008972167969,1387.8720703125,769.962028745186,1398.06184802795,,0,
1,7036,1,2023-04-06,Baseline,Woman,757.865600585938,1387.57470703125,767.403138238546,1395.37215020784,,0,
1,7037,1,2023-04-06,Baseline,Woman,754.441955566406,1386.68835449219,764.761104941088,1392.52803105967,,0,
1,7038,1,2023-04-06,Baseline,Woman,751.027465820313,1385.80969238281,762.044671748768,1389.53348249552,,0,
1,7039,1,2023-04-06,Baseline,Woman,753.858947753906,1398.65014648438,759.262533749671,1386.39303429527,,0,
1,7040,1,2023-04-06,Baseline,Woman,749.311889648438,1388.18786621094,756.423252764698,1383.11171205075,,0,
1,7041,1,2023-04-06,Baseline,Woman,747.854187011719,1388.43334960938,753.535183541691,1379.69499542786,,0,
1,7042,1,2023-04-06,Baseline,Woman,744.230895996094,1384.07629394531,750.606408880344,1376.14876844527,,0,
1,7043,1,2023-04-06,Baseline,Woman,743.100769042969,1383.7900390625,747.644682568016,1372.47926013944,,0,
1,7044,1,2023-04-06,Baseline,Woman,741.28271484375,1375.81848144531,744.657379984937,1368.6929758223,,0,
1,7045,1,2023-04-06,Baseline,Woman,731.865295410156,1349.986328125,741.651455800767,1364.79661725721,,0,
1,7046,1,2023-04-06,Baseline,Woman,732.977783203125,1358.43505859375,738.633407485339,1360.79699120713,,0,
